     t       numeric x    exact x     numeric v     exact v  
0.00000000  0.00000000  0.00000000  10.00000000  10.00000000
0.00050000  0.00500000  0.00500000  10.00000000  9.99999875
0.00100000  0.01000000  0.01000000  9.99999500  9.99999500
0.00150000  0.01500000  0.01499999  9.99999000  9.99998875
0.00200000  0.01999999  0.01999999  9.99998000  9.99998000
0.00250000  0.02499998  0.02499997  9.99997000  9.99996875
0.00300000  0.02999996  0.02999996  9.99995500  9.99995500
0.00350000  0.03499994  0.03499993  9.99994000  9.99993875
0.00400000  0.03999990  0.03999989  9.99992000  9.99992000
0.00450000  0.04499986  0.04499985  9.99990000  9.99989875
0.00500000  0.04999980  0.04999979  9.99987500  9.99987500
0.00550000  0.05499974  0.05499972  9.99985000  9.99984875
0.00600000  0.05999965  0.05999964  9.99982000  9.99982000
0.00650000  0.06499956  0.06499954  9.99979000  9.99978875
0.00700000  0.06999944  0.06999943  9.99975500  9.99975500
0.00750000  0.07499932  0.07499930  9.99972000  9.99971875
0.00800000  0.07999916  0.07999915  9.99968000  9.99968000
0.00850000  0.08499900  0.08499898  9.99964000  9.99963875
0.00900000  0.08999880  0.08999879  9.99959500  9.99959500
0.00950000  0.09499860  0.09499857  9.99955000  9.99954875
0.01000000  0.09999835  0.09999833  9.99950000  9.99950000
0.01050000  0.10499810  0.10499807  9.99945000  9.99944876
0.01100000  0.10999780  0.10999778  9.99939501  9.99939501
0.01150000  0.11499750  0.11499747  9.99934001  9.99933876
0.01200000  0.11999714  0.11999712  9.99928001  9.99928001
0.01250000  0.12499678  0.12499674  9.99922001  9.99921876
0.01300000  0.12999636  0.12999634  9.99915501  9.99915501
0.01350000  0.13499594  0.13499590  9.99909001  9.99908876
0.01400000  0.13999545  0.13999543  9.99902002  9.99902002
0.01450000  0.14499496  0.14499492  9.99895002  9.99894877
0.01500000  0.14999440  0.14999438  9.99887502  9.99887502
0.01550000  0.15499384  0.15499379  9.99880002  9.99879877
0.01600000  0.15999320  0.15999317  9.99872003  9.99872003
0.01650000  0.16499256  0.16499251  9.99864003  9.99863878
0.01700000  0.16999184  0.16999181  9.99855503  9.99855503
0.01750000  0.17499112  0.17499107  9.99847004  9.99846879
0.01800000  0.17999031  0.17999028  9.99838004  9.99838004
0.01850000  0.18498950  0.18498945  9.99829005  9.99828880
0.01900000  0.18998860  0.18998857  9.99819505  9.99819505
0.01950000  0.19498770  0.19498764  9.99810006  9.99809881
0.02000000  0.19998670  0.19998667  9.99800007  9.99800007
0.02050000  0.20498570  0.20498564  9.99790007  9.99789882
0.02100000  0.20998460  0.20998457  9.99779508  9.99779508
0.02150000  0.21498350  0.21498344  9.99769009  9.99768884
0.02200000  0.21998229  0.21998225  9.99758010  9.99758010
0.02250000  0.22498108  0.22498102  9.99747011  9.99746886
0.02300000  0.22997976  0.22997972  9.99735512  9.99735512
0.02350000  0.23497844  0.23497837  9.99724013  9.99723888
0.02400000  0.23997700  0.23997696  9.99712014  9.99712014
0.02450000  0.24497556  0.24497549  9.99700015  9.99699890
0.02500000  0.24997400  0.24997396  9.99687516  9.99687516
0.02550000  0.25497244  0.25497237  9.99675017  9.99674893
0.02600000  0.25997075  0.25997071  9.99662019  9.99662019
0.02650000  0.26496906  0.26496899  9.99649020  9.99648896
0.02700000  0.26996724  0.26996720  9.99635522  9.99635522
0.02750000  0.27496542  0.27496534  9.99622024  9.99621899
0.02800000  0.27996346  0.27996341  9.99608025  9.99608026
0.02850000  0.28496150  0.28496142  9.99594027  9.99593902
0.02900000  0.28995940  0.28995935  9.99579529  9.99579529
0.02950000  0.29495730  0.29495721  9.99565031  9.99564907
0.03000000  0.29995505  0.29995500  9.99550034  9.99550034
0.03050000  0.30495280  0.30495271  9.99535036  9.99534911
0.03100000  0.30995040  0.30995035  9.99519538  9.99519538
0.03150000  0.31494800  0.31494791  9.99504041  9.99503916
0.03200000  0.31994544  0.31994539  9.99488044  9.99488044
0.03250000  0.32494288  0.32494279  9.99472046  9.99471921
0.03300000  0.32994016  0.32994011  9.99455549  9.99455549
0.03350000  0.33493744  0.33493734  9.99439052  9.99438927
0.03400000  0.33993455  0.33993450  9.99422055  9.99422056
0.03450000  0.34493166  0.34493156  9.99405059  9.99404934
0.03500000  0.34992860  0.34992855  9.99387562  9.99387563
0.03550000  0.35492554  0.35492544  9.99370066  9.99369941
0.03600000  0.35992231  0.35992225  9.99352070  9.99352070
0.03650000  0.36491907  0.36491896  9.99334074  9.99333949
0.03700000  0.36991565  0.36991558  9.99315578  9.99315578
0.03750000  0.37491222  0.37491212  9.99297082  9.99296957
0.03800000  0.37990862  0.37990855  9.99278087  9.99278087
0.03850000  0.38490501  0.38490490  9.99259091  9.99258967
0.03900000  0.38990121  0.38990114  9.99239596  9.99239596
0.03950000  0.39489741  0.39489729  9.99220101  9.99219976
0.04000000  0.39989341  0.39989334  9.99200106  9.99200107
0.04050000  0.40488941  0.40488929  9.99180112  9.99179987
0.04100000  0.40988521  0.40988514  9.99159617  9.99159618
0.04150000  0.41488101  0.41488089  9.99139123  9.99138999
0.04200000  0.41987660  0.41987653  9.99118129  9.99118130
0.04250000  0.42487219  0.42487207  9.99097136  9.99097011
0.04300000  0.42986757  0.42986750  9.99075642  9.99075642
0.04350000  0.43486295  0.43486282  9.99054149  9.99054024
0.04400000  0.43985811  0.43985804  9.99032156  9.99032156
0.04450000  0.44485327  0.44485315  9.99010163  9.99010038
0.04500000  0.44984822  0.44984814  9.98987671  9.98987671
0.04550000  0.45484315  0.45484302  9.98965178  9.98965054
0.04600000  0.45983787  0.45983779  9.98942186  9.98942187
0.04650000  0.46483258  0.46483244  9.98919194  9.98919070
0.04700000  0.46982706  0.46982698  9.98895703  9.98895703
0.04750000  0.47482154  0.47482140  9.98872212  9.98872087
0.04800000  0.47981578  0.47981570  9.98848221  9.98848221
0.04850000  0.48481002  0.48480988  9.98824230  9.98824106
0.04900000  0.48980402  0.48980394  9.98799740  9.98799740
0.04950000  0.49479802  0.49479788  9.98775250  9.98775125
0.05000000  0.49979178  0.49979169  9.98750260  9.98750260
0.05050000  0.50478553  0.50478538  9.98725270  9.98725146
0.05100000  0.50977903  0.50977894  9.98699781  9.98699782
0.05150000  0.51477253  0.51477238  9.98674292  9.98674168
0.05200000  0.51976577  0.51976569  9.98648304  9.98648305
0.05250000  0.52475901  0.52475886  9.98622316  9.98622192
0.05300000  0.52975199  0.52975191  9.98595828  9.98595829
0.05350000  0.53474497  0.53474482  9.98569341  9.98569216
0.05400000  0.53973769  0.53973760  9.98542354  9.98542354
0.05450000  0.54473040  0.54473024  9.98515367  9.98515243
0.05500000  0.54972284  0.54972275  9.98487881  9.98487881
0.05550000  0.55471528  0.55471512  9.98460395  9.98460270
0.05600000  0.55970745  0.55970735  9.98432409  9.98432410
0.05650000  0.56469961  0.56469944  9.98404424  9.98404300
0.05700000  0.56969149  0.56969140  9.98375939  9.98375940
0.05750000  0.57468337  0.57468320  9.98347455  9.98347330
0.05800000  0.57967496  0.57967487  9.98318471  9.98318471
0.05850000  0.58466656  0.58466639  9.98289487  9.98289363
0.05900000  0.58965786  0.58965776  9.98260004  9.98260005
0.05950000  0.59464916  0.59464899  9.98230521  9.98230397
0.06000000  0.59964016  0.59964006  9.98200539  9.98200540
0.06050000  0.60463117  0.60463099  9.98170557  9.98170433
0.06100000  0.60962187  0.60962177  9.98140076  9.98140077
0.06150000  0.61461257  0.61461239  9.98109595  9.98109471
0.06200000  0.61960297  0.61960286  9.98078615  9.98078616
0.06250000  0.62459336  0.62459318  9.98047635  9.98047511
0.06300000  0.62958344  0.62958334  9.98016156  9.98016156
0.06350000  0.63457352  0.63457334  9.97984676  9.97984552
0.06400000  0.63956329  0.63956318  9.97952698  9.97952699
0.06450000  0.64455305  0.64455287  9.97920720  9.97920596
0.06500000  0.64954250  0.64954239  9.97888243  9.97888244
0.06550000  0.65453194  0.65453175  9.97855766  9.97855642
0.06600000  0.65952105  0.65952094  9.97822790  9.97822790
0.06650000  0.66451017  0.66450998  9.97789814  9.97789690
0.06700000  0.66949895  0.66949884  9.97756339  9.97756340
0.06750000  0.67448773  0.67448754  9.97722864  9.97722740
0.06800000  0.67947618  0.67947607  9.97688890  9.97688891
0.06850000  0.68446463  0.68446443  9.97654916  9.97654792
0.06900000  0.68945273  0.68945262  9.97620444  9.97620444
0.06950000  0.69444083  0.69444063  9.97585971  9.97585847
0.07000000  0.69942859  0.69942847  9.97550999  9.97551000
0.07050000  0.70441634  0.70441614  9.97516028  9.97515904
0.07100000  0.70940375  0.70940363  9.97480558  9.97480559
0.07150000  0.71439115  0.71439095  9.97445088  9.97444964
0.07200000  0.71937820  0.71937808  9.97409119  9.97409120
0.07250000  0.72436525  0.72436504  9.97373150  9.97373026
0.07300000  0.72935193  0.72935181  9.97336682  9.97336683
0.07350000  0.73433862  0.73433840  9.97300215  9.97300091
0.07400000  0.73932493  0.73932481  9.97263248  9.97263249
0.07450000  0.74431125  0.74431104  9.97226282  9.97226158
0.07500000  0.74929720  0.74929707  9.97188817  9.97188818
0.07550000  0.75428314  0.75428292  9.97151352  9.97151229
0.07600000  0.75926871  0.75926858  9.97113389  9.97113390
