   t     nR      nF
0.000000  1.272699  1.200000
0.050000  1.259972  1.209817
0.100000  1.246263  1.218871
0.150000  1.232624  1.227876
0.200000  1.218174  1.236009
0.250000  1.203799  1.244099
0.300000  1.188790  1.251222
0.350000  1.173857  1.258309
0.400000  1.158468  1.264348
0.450000  1.143156  1.270359
0.500000  1.127562  1.275260
0.550000  1.112043  1.280140
0.600000  1.096409  1.283865
0.650000  1.080847  1.287579
0.700000  1.065326  1.290111
0.750000  1.049873  1.292640
0.800000  1.034603  1.293979
0.850000  1.019395  1.295323
0.900000  1.004498  1.295487
0.950000  0.989657  1.295661
1.000000  0.975237  1.294683
1.050000  0.960868  1.293721
1.100000  0.947015  1.291645
1.150000  0.933205  1.289592
1.200000  0.919990  1.286477
1.250000  0.906812  1.283389
1.300000  0.894292  1.279301
1.350000  0.881803  1.275244
1.400000  0.870021  1.270257
1.450000  0.858264  1.265304
1.500000  0.847251  1.259497
1.550000  0.836258  1.253725
1.600000  0.826033  1.247180
1.650000  0.815824  1.240671
1.700000  0.806398  1.233469
1.750000  0.796985  1.226305
1.800000  0.788362  1.218532
1.850000  0.779748  1.210795
1.900000  0.771925  1.202531
1.950000  0.764108  1.194303
2.000000  0.757078  1.185628
2.050000  0.750052  1.176987
2.100000  0.743803  1.167976
2.150000  0.737556  1.158999
2.200000  0.732076  1.149726
2.250000  0.726596  1.140485
2.300000  0.721869  1.131017
2.350000  0.717140  1.121580
2.400000  0.713150  1.111982
2.450000  0.709157  1.102413
2.500000  0.705887  1.092744
2.550000  0.702614  1.083103
2.600000  0.700048  1.073418
2.650000  0.697478  1.063759
2.700000  0.695601  1.054110
2.750000  0.693719  1.044484
2.800000  0.692515  1.034916
2.850000  0.691306  1.025369
2.900000  0.690761  1.015924
2.950000  0.690211  1.006499
3.000000  0.690313  0.997216
3.050000  0.690409  0.987951
3.100000  0.691145  0.978864
3.150000  0.691875  0.969794
3.200000  0.693235  0.960935
3.250000  0.694589  0.952092
3.300000  0.696562  0.943488
3.350000  0.698530  0.934900
3.400000  0.701110  0.926578
3.450000  0.703683  0.918269
3.500000  0.706861  0.910252
3.550000  0.710033  0.902247
3.600000  0.713802  0.894555
3.650000  0.717565  0.886874
3.700000  0.721919  0.879526
3.750000  0.726268  0.872188
3.800000  0.731202  0.865201
3.850000  0.736130  0.858224
3.900000  0.741638  0.851613
3.950000  0.747141  0.845012
4.000000  0.753218  0.838793
4.050000  0.759289  0.832583
4.100000  0.765930  0.826768
4.150000  0.772564  0.820963
4.200000  0.779762  0.815565
4.250000  0.786952  0.810177
4.300000  0.794700  0.805209
4.350000  0.802440  0.800250
4.400000  0.810729  0.795723
4.450000  0.819009  0.791205
4.500000  0.827829  0.787131
4.550000  0.836640  0.783065
4.600000  0.845979  0.779456
4.650000  0.855307  0.775854
4.700000  0.865150  0.772720
4.750000  0.874982  0.769594
4.800000  0.885310  0.766947
4.850000  0.895626  0.764309
4.900000  0.906419  0.762161
4.950000  0.917198  0.760021
5.000000  0.928430  0.758385
5.050000  0.939646  0.756757
5.100000  0.951286  0.755645
5.150000  0.962909  0.754540
5.200000  0.974922  0.753965
5.250000  0.986915  0.753398
5.300000  0.999259  0.753374
5.350000  1.011582  0.753357
5.400000  1.024209  0.753898
5.450000  1.036812  0.754445
5.500000  1.049669  0.755564
5.550000  1.062498  0.756690
5.600000  1.075520  0.758401
5.650000  1.088513  0.760120
5.700000  1.101632  0.762438
5.750000  1.114717  0.764763
5.800000  1.127854  0.767702
5.850000  1.140954  0.770647
5.900000  1.154022  0.774220
5.950000  1.167050  0.777797
6.000000  1.179954  0.782015
6.050000  1.192815  0.786237
6.100000  1.205452  0.791111
6.150000  1.218043  0.795987
6.200000  1.230302  0.801525
6.250000  1.242511  0.807063
6.300000  1.254275  0.813268
6.350000  1.265985  0.819472
6.400000  1.277129  0.826346
6.450000  1.288218  0.833216
6.500000  1.298615  0.840755
6.550000  1.308954  0.848287
6.600000  1.318473  0.856480
6.650000  1.327934  0.864663
6.700000  1.336445  0.873493
6.750000  1.344898  0.882310
6.800000  1.352273  0.891752
6.850000  1.359592  0.901176
6.900000  1.365709  0.911195
6.950000  1.371773  0.921192
7.000000  1.376520  0.931743
7.050000  1.381218  0.942268
7.100000  1.384494  0.953296
7.150000  1.387727  0.964292
7.200000  1.389449  0.975729
7.250000  1.391135  0.987129
7.300000  1.391240  0.998895
7.350000  1.391317  1.010619
7.400000  1.389762  1.022623
7.450000  1.388190  1.034581
7.500000  1.384962  1.046720
7.550000  1.381726  1.058809
7.600000  1.376836  1.070971
7.650000  1.371950  1.083078
7.700000  1.365438  1.095142
7.750000  1.358943  1.107148
7.800000  1.350877  1.118986
7.850000  1.342841  1.130765
7.900000  1.333318  1.142246
7.950000  1.323835  1.153668
8.000000  1.312975  1.164662
8.050000  1.302165  1.175597
8.100000  1.290109  1.185976
8.150000  1.278112  1.196297
8.200000  1.265020  1.205938
8.250000  1.251994  1.215526
8.300000  1.238036  1.224316
8.350000  1.224151  1.233059
8.400000  1.209506  1.240900
8.450000  1.194938  1.248699
8.500000  1.179788  1.255505
8.550000  1.164716  1.262276
8.600000  1.149241  1.267980
8.650000  1.133842  1.273657
8.700000  1.118212  1.278208
8.750000  1.102657  1.282741
8.800000  1.087036  1.286109
8.850000  1.071485  1.289467
8.900000  1.056020  1.291640
8.950000  1.040621  1.293810
9.000000  1.025445  1.294793
9.050000  1.010330  1.295781
9.100000  0.995561  1.295596
9.150000  0.980847  1.295423
9.200000  0.966585  1.294107
9.250000  0.952371  1.292810
9.300000  0.938698  1.290413
9.350000  0.925068  1.288040
9.400000  0.912053  1.284622
9.450000  0.899073  1.281233
9.500000  0.886768  1.276863
9.550000  0.874492  1.272526
9.600000  0.862936  1.267281
9.650000  0.851404  1.262070
9.700000  0.840623  1.256028
9.750000  0.829862  1.250023
9.800000  0.819875  1.243268
9.850000  0.809902  1.236549
9.900000  0.800717  1.229164
9.950000  0.791542  1.221815
10.000000  0.783159  1.213882
10.050000  0.774784  1.205985
10.100000  0.767200  1.197585
10.150000  0.759620  1.189221
10.200000  0.752826  1.180434
10.250000  0.746034  1.171680
10.300000  0.740018  1.162580
10.350000  0.734002  1.153512
10.400000  0.728750  1.144170
10.450000  0.723497  1.134859
10.500000  0.718993  1.125342
10.550000  0.714487  1.115855
10.600000  0.710715  1.106227
10.650000  0.706941  1.096626
10.700000  0.703884  1.086944
10.750000  0.700825  1.077288
10.800000  0.698468  1.067606
10.850000  0.696107  1.057949
10.900000  0.694434  1.048316
10.950000  0.692756  1.038706
11.000000  0.691753  1.029168
11.050000  0.690744  1.019651
11.100000  0.690395  1.010248
11.150000  0.690042  1.000864
11.200000  0.690336  0.991634
11.250000  0.690624  0.982422
11.300000  0.691550  0.973398
11.350000  0.692470  0.964391
11.400000  0.694016  0.955603
11.450000  0.695556  0.946831
11.500000  0.697714  0.938308
11.550000  0.699866  0.929799
11.600000  0.702627  0.921564
11.650000  0.705382  0.913342
11.700000  0.708740  0.905419
11.750000  0.712091  0.897507
11.800000  0.716038  0.889915
11.850000  0.719979  0.882334
11.900000  0.724510  0.875090
11.950000  0.729035  0.867858
12.000000  0.734143  0.860981
12.050000  0.739246  0.854114
12.100000  0.744928  0.847618
12.150000  0.750604  0.841132
12.200000  0.756853  0.835032
12.250000  0.763095  0.828940
12.300000  0.769906  0.823249
12.350000  0.776710  0.817566
12.400000  0.784076  0.812295
12.450000  0.791435  0.807034
12.500000  0.799348  0.802196
12.550000  0.807254  0.797367
12.600000  0.815705  0.792975
12.650000  0.824149  0.788591
12.700000  0.833129  0.784654
12.750000  0.842099  0.780726
12.800000  0.851594  0.777258
12.850000  0.861078  0.773797
12.900000  0.871072  0.770808
12.950000  0.881054  0.767827
13.000000  0.891527  0.765328
13.050000  0.901988  0.762838
13.100000  0.912919  0.760842
13.150000  0.923836  0.758855
13.200000  0.935197  0.757374
13.250000  0.946542  0.755902
